mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.7235697746276855,0.336781097932375,0.02590665817260742,0.005458825123964131,,sqrt,2,50,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 2, 'clf__n_estimators': 50}",0.9013639912230461,0.9015974749703175,0.8260003827495515,0.8825484420570463,0.9475860522076992,0.8918192686415323,0.039280333916868033,34
7.001740026473999,1.0363244532974654,0.044680023193359376,0.008640781484358385,,sqrt,2,100,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.9102792139902353,0.8925811060782293,0.8262135716504428,0.892118987949362,0.9301976749442643,0.8902781109225067,0.0349473132663162,36
13.770744848251343,1.5110228450481538,0.06554794311523438,0.02146789452083985,,sqrt,2,200,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9195752044835871,0.9112225087656142,0.8362286472702689,0.8825484420570463,0.9389321170378313,0.8977013839228697,0.03569248434861818,30
3.1817893028259276,0.42469567310495016,0.025212526321411133,0.004710919057385293,,sqrt,5,50,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 5, 'clf__n_estimators': 50}",0.9193369416982731,0.9020642611651776,0.8262135716504428,0.9008968421938852,0.9389321170378313,0.8974887467491222,0.038229824994375015,31
6.687627983093262,1.283385829778525,0.037389278411865234,0.008309586232876875,,sqrt,5,100,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.9280656452667552,0.9195752044835871,0.8260003827495515,0.9008968421938852,0.9475860522076992,0.9044248253802957,0.04198607797932675,25
13.640400218963624,1.561811129102946,0.07078819274902344,0.017990599110695688,,sqrt,5,200,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.9283062949908224,0.9107509835031143,0.8360128741671362,0.8916566303189545,0.9386889648604956,0.9010831495681046,0.036254003942790276,29
2.8231632709503174,0.337527305398646,0.030626344680786132,0.005032229652094912,,log2,2,50,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_split': 2, 'clf__n_estimators': 50}",0.9195752044835871,0.9202896227225001,0.8156543975360712,0.8733354319116466,0.9297158320344694,0.891714097737655,0.042801371611508696,35
5.382994079589844,0.9641015266981618,0.036276721954345705,0.00929612294272476,,log2,2,100,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.9195752044835871,0.9202896227225001,0.8158650248856211,0.8733354319116466,0.9386889648604956,0.8935508497727701,0.04443743682603892,33
10.907121992111206,1.2759315728367535,0.05732440948486328,0.017119968183964357,,log2,2,200,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9107509835031143,0.9205276389227097,0.8260003827495515,0.8640142467324836,0.9473406589490958,0.893726782171391,0.04324871576723995,32
2.8318828105926515,0.47136189015509466,0.026132583618164062,0.008361306210819269,,log2,5,50,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_split': 5, 'clf__n_estimators': 50}",0.9105151293016966,0.937918291563548,0.8362286472702689,0.892118987949362,0.9301976749442643,0.901395746205828,0.03627511431804385,28
4.45544400215149,0.2241330000058551,0.02539510726928711,0.004077041796324494,,log2,5,100,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.9195752044835871,0.9290278701444616,0.8360128741671362,0.8825484420570463,0.9475860522076992,0.9029500886119861,0.03961220083081982,27
9.963836097717286,1.6539825754315594,0.05327663421630859,0.02414208182657525,,log2,5,200,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.9195752044835871,0.9292682706841677,0.8360128741671362,0.8827771704377317,0.9475860522076992,0.9030439143960644,0.03962045865549434,26
2.206782341003418,0.5561126990060973,0.01887822151184082,0.006148326289684541,5,sqrt,2,50,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 2, 'clf__n_estimators': 50}",0.9512381152424636,0.9906782015210954,0.9532229647981403,0.950492728071519,0.9601544317317935,0.9611572882730023,0.015149695489667511,10
4.674044561386109,1.2505225406125915,0.03135557174682617,0.010589246978903953,5,sqrt,2,100,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.942550827200141,0.9906782015210954,0.9613492808873074,0.9590946475480543,0.9685402191732705,0.9644426352659737,0.015636599406127317,2
10.952756261825561,2.0318155244621496,0.0694462776184082,0.019674807622902062,5,sqrt,2,200,"{'clf__max_depth': 5, 'clf__max_features': 'sqrt', 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.9423046982425043,0.982645807758398,0.9618495928029797,0.9502441357492153,0.9685402191732705,0.9611168907452736,0.014080144267576478,11
